purchase_frequency,avg_order_value,customer_satisfaction,customer_age,customer_gender,net_promoter_score,engagement_level,loyalty_program_membership,age_group,customer_loyalty_score
9,125,,20,,0,high,NO,18-25,79
3,125,7,59,female,8,medium,NO,56-65,33
3,100,2,47,,4,medium,NO,46-55,63
10,75,10,44,male,6,medium,YES,36-45,49
9,75,8,63,male,3,medium,YES,56-65,59
8,25,7,50,,1,low,YES,46-55,81
9,50,1,44,male,4,medium,NO,36-45,74
1,125,10,54,male,1,medium,YES,46-55,56
8,50,5,32,male,2,high,NO,26-35,80
7,250,1,56,male,5,low,NO,56-65,31
9,175,8,,male,0,low,YES,56-65,63
9,25,4,29,male,10,high,NO,26-35,55
7,225,5,60,male,5,high,NO,56-65,28
,250,3,,female,4,low,YES,18-25,37
8,,5,27,female,10,high,YES,26-35,54
4,150,5,37,,8,medium,NO,36-45,37
5,250,3,61,female,0,high,NO,56-65,41
,75,4,37,male,5,high,YES,36-45,58
6,75,8,35,female,,high,NO,26-35,76
7,250,6,32,female,3,low,NO,26-35,35
10,250,6,56,female,8,medium,YES,56-65,9
3,50,3,46,,8,low,YES,46-55,53
5,250,10,19,male,1,low,YES,18-25,39
,175,5,45,male,8,high,NO,36-45,29
7,50,2,21,male,0,medium,YES,18-25,89
1,175,7,38,,10,medium,YES,36-45,18
5,25,9,,male,1,medium,NO,56-65,91
10,200,3,69,female,,high,YES,66-70,46
6,150,,61,male,10,low,YES,,27
8,200,6,55,male,8,high,YES,46-55,17
6,100,9,59,male,10,medium,NO,56-65,31
9,100,7,24,male,4,,YES,18-25,59
,125,7,57,female,1,low,NO,56-65,61
5,,9,65,female,9,high,YES,56-65,45
9,225,5,,female,,high,NO,18-25,56
5,200,2,44,,2,low,YES,36-45,48
7,125,10,69,male,3,high,YES,66-70,44
9,150,7,27,male,4,high,YES,26-35,46
5,25,,64,female,8,high,YES,56-65,53
3,50,8,25,female,7,medium,NO,18-25,58
8,200,6,66,female,9,high,NO,66-70,13
,150,2,58,male,,low,NO,56-65,67
6,100,8,42,female,,high,YES,36-45,66
5,,6,59,,,low,YES,56-65,88
3,125,6,20,female,,low,NO,18-25,73
3,225,,60,,1,medium,YES,56-65,47
2,225,6,69,female,5,low,YES,66-70,23
7,225,2,40,male,4,high,NO,36-45,38
,175,1,66,female,3,high,NO,66-70,45
3,150,6,61,male,4,low,YES,56-65,42
9,,4,29,male,7,medium,NO,26-35,72
2,,10,40,female,8,high,YES,36-45,53
2,100,5,45,male,1,high,YES,36-45,66
7,100,2,27,female,10,high,NO,,40
9,50,8,35,,2,medium,YES,26-35,73
10,200,6,26,male,,,NO,26-35,59
2,,7,56,male,0,medium,NO,56-65,91
1,,2,23,female,3,high,NO,18-25,87
7,50,2,48,,2,medium,NO,,80
4,225,1,40,female,5,low,NO,36-45,36
1,,9,53,female,9,low,YES,46-55,49
2,100,10,55,female,6,high,NO,,42
9,25,,58,female,7,medium,YES,56-65,61
8,150,4,,male,2,low,YES,46-55,64
7,250,3,53,female,2,medium,YES,46-55,34
10,,7,52,male,9,high,YES,46-55,51
7,100,6,44,female,4,low,NO,36-45,58
5,100,9,33,,1,medium,YES,26-35,67
5,250,10,30,male,5,high,NO,26-35,24
3,,6,41,female,,high,NO,36-45,91
10,200,6,23,male,,medium,NO,18-25,59
7,175,9,35,male,4,high,NO,26-35,44
8,100,7,23,male,7,,NO,18-25,51
,100,6,37,female,5,low,NO,36-45,55
7,250,,,female,9,high,NO,,22
3,125,2,60,male,8,high,NO,56-65,39
,50,2,39,female,1,,NO,36-45,84
2,50,,49,female,,low,NO,46-55,86
6,25,2,18,male,10,low,NO,,60
7,50,8,49,male,5,low,YES,46-55,58
5,175,8,25,male,5,medium,NO,18-25,43
9,100,2,,female,2,low,YES,46-55,74
3,,5,60,male,,low,NO,56-65,93
1,175,5,48,female,8,low,YES,46-55,24
5,200,,25,female,4,medium,NO,18-25,48
6,100,3,44,male,0,medium,YES,36-45,74
8,200,5,21,,,low,YES,18-25,59
10,125,6,,male,8,low,YES,18-25,43
10,175,2,49,female,1,high,NO,46-55,56
1,200,9,65,male,10,medium,YES,56-65,6
10,125,,36,female,,high,NO,36-45,74
5,175,4,23,female,8,high,YES,18-25,29
7,25,9,28,,10,low,NO,26-35,51
9,225,2,37,,2,high,NO,36-45,46
2,150,6,22,female,2,,NO,18-25,60
9,150,10,42,,8,low,YES,36-45,27
9,200,6,39,male,1,medium,YES,,50
10,150,9,21,female,0,high,NO,18-25,63
7,100,,31,male,6,high,YES,,54
9,25,4,57,male,4,low,YES,56-65,68
3,225,7,,female,0,high,NO,36-45,55
6,225,4,44,male,6,high,NO,36-45,28
1,175,5,50,female,,high,NO,46-55,57
10,125,7,35,female,,high,NO,26-35,67
,175,3,,male,5,,YES,26-35,49
1,,4,65,male,,medium,YES,56-65,88
4,175,4,65,female,1,high,YES,,47
3,,9,65,female,,high,YES,56-65,80
7,50,2,40,male,8,medium,YES,,54
2,125,9,65,male,4,medium,YES,56-65,44
6,,9,32,female,8,medium,NO,26-35,61
6,75,2,,male,6,low,NO,,68
,100,8,53,female,,high,NO,46-55,67
7,125,10,65,female,9,high,YES,56-65,20
10,,4,49,male,,medium,YES,46-55,91
,225,9,68,male,2,high,NO,66-70,33
4,50,9,55,female,8,,NO,46-55,47
2,25,8,20,male,7,low,NO,18-25,65
10,125,1,47,male,4,medium,NO,46-55,60
5,225,8,,female,1,medium,YES,36-45,48
2,75,1,66,male,5,high,NO,66-70,59
6,175,10,54,male,6,low,YES,46-55,28
6,250,1,,,0,low,YES,56-65,55
3,200,4,46,male,,medium,NO,46-55,59
7,225,10,48,female,3,medium,YES,46-55,29
5,250,7,52,female,3,high,NO,46-55,28
7,200,,37,female,6,low,NO,36-45,38
9,200,1,41,male,0,medium,YES,36-45,57
3,,5,64,male,9,medium,YES,56-65,53
8,250,2,59,female,1,medium,NO,56-65,42
4,175,8,,female,2,low,NO,36-45,58
6,75,2,51,female,1,low,YES,46-55,73
9,150,9,26,female,5,high,YES,26-35,39
3,75,5,60,female,3,medium,NO,56-65,64
9,100,1,53,male,,medium,YES,46-55,74
3,25,9,37,male,9,high,NO,36-45,51
10,25,7,37,male,2,low,NO,36-45,82
9,175,10,27,female,0,high,NO,26-35,56
4,100,7,47,,7,low,NO,46-55,47
8,250,10,61,male,8,medium,YES,,5
9,250,9,25,male,6,low,NO,18-25,24
9,25,6,51,male,1,high,NO,46-55,82
10,250,8,28,,9,high,NO,26-35,12
4,150,6,19,male,1,low,YES,18-25,63
1,100,,42,female,3,high,NO,36-45,66
8,175,3,24,female,1,low,YES,18-25,58
5,175,8,49,female,4,medium,YES,46-55,36
2,200,3,42,male,7,low,NO,36-45,34
4,50,3,,male,0,high,YES,26-35,90
8,125,3,51,male,1,,NO,46-55,67
8,225,4,57,female,8,high,YES,,12
5,50,2,55,male,4,,NO,46-55,71
,,6,,female,0,low,YES,46-55,98
4,150,7,43,male,3,low,YES,36-45,49
4,200,3,20,male,4,medium,YES,,44
1,250,2,25,,7,medium,NO,18-25,27
4,150,9,64,male,8,high,NO,56-65,26
4,200,1,61,male,,medium,NO,56-65,57
5,175,1,60,male,8,medium,NO,56-65,32
10,,9,,,9,medium,YES,,61
8,100,4,24,,0,medium,NO,18-25,82
,225,7,54,male,9,low,NO,46-55,14
1,200,2,21,male,,high,NO,18-25,63
,200,,,male,7,high,YES,18-25,37
6,75,10,21,female,5,medium,YES,18-25,55
10,200,7,59,female,6,medium,NO,56-65,27
2,175,6,32,male,3,medium,YES,26-35,47
4,,5,61,,,low,NO,56-65,92
1,100,3,61,female,8,medium,YES,,38
3,200,3,41,male,0,low,YES,36-45,56
5,175,,56,male,2,low,YES,56-65,53
10,200,7,32,female,5,,NO,26-35,36
9,200,2,19,male,2,,NO,,56
8,25,4,20,female,0,high,NO,18-25,92
7,50,,47,male,4,low,YES,46-55,70
6,125,,43,female,10,medium,YES,36-45,32
6,150,4,60,female,9,low,YES,56-65,24
4,50,10,45,male,2,medium,NO,36-45,73
6,25,9,35,male,3,high,YES,,71
10,,3,28,female,6,,YES,26-35,71
10,,,52,male,7,low,YES,46-55,68
9,200,7,34,male,4,high,NO,26-35,39
2,250,10,62,female,7,medium,NO,56-65,10
4,175,9,30,female,7,,YES,26-35,28
5,150,,59,female,8,low,NO,56-65,36
4,150,9,,female,7,medium,YES,46-55,38
1,100,4,49,male,1,high,NO,46-55,72
6,150,1,67,,2,medium,YES,66-70,54
6,,7,56,male,0,,NO,56-65,90
4,225,1,63,,2,medium,YES,56-65,40
10,50,9,19,female,1,medium,NO,,81
4,150,8,,male,6,high,NO,26-35,46
2,225,8,40,male,2,high,YES,36-45,36
6,100,5,,female,9,medium,NO,66-70,48
4,225,5,33,male,8,low,YES,26-35,20
7,25,10,53,female,7,high,YES,46-55,49
2,225,3,47,male,,high,NO,46-55,51
3,225,3,64,male,5,low,NO,56-65,31
1,50,8,32,female,3,high,NO,26-35,69
10,125,1,53,female,4,medium,YES,46-55,52
7,25,1,55,female,9,medium,NO,46-55,56
6,,,53,female,8,high,NO,46-55,63
4,125,2,42,male,,low,NO,36-45,74
,250,3,37,male,9,,NO,,16
7,,7,,female,6,high,NO,18-25,74
,100,1,40,male,5,medium,NO,36-45,61
,200,8,52,female,,high,NO,46-55,48
,125,10,45,male,2,low,NO,36-45,58
6,175,7,50,,10,low,NO,46-55,20
,150,8,52,male,5,low,NO,,42
9,200,8,19,male,2,low,YES,18-25,47
8,200,2,54,male,8,medium,YES,46-55,23
9,200,10,56,male,10,low,YES,56-65,7
3,250,10,53,male,1,low,NO,46-55,36
8,175,,69,female,,low,NO,66-70,61
7,25,6,52,male,,low,YES,46-55,84
6,75,1,59,male,0,high,NO,,80
2,125,,67,female,6,high,YES,66-70,41
4,75,5,33,male,,high,YES,26-35,77
4,50,9,40,,9,low,YES,36-45,44
7,250,2,37,female,8,medium,NO,36-45,19
2,75,5,51,female,2,high,YES,46-55,64
10,75,,19,female,,high,NO,18-25,87
8,,9,57,male,,medium,NO,56-65,90
6,150,3,56,male,5,low,NO,56-65,47
4,150,9,55,male,,low,NO,46-55,62
8,250,10,54,male,1,medium,YES,46-55,32
6,125,4,54,,8,medium,NO,46-55,40
10,50,8,53,female,5,,YES,46-55,56
5,100,1,35,female,5,medium,NO,26-35,61
9,150,5,38,male,10,low,YES,36-45,27
7,150,5,29,female,2,low,YES,26-35,56
2,175,,25,female,,high,NO,18-25,66
5,,9,43,,3,medium,YES,36-45,76
10,,,45,male,9,low,NO,36-45,65
5,50,2,,male,10,low,YES,18-25,55
3,25,7,25,male,8,low,NO,,61
7,200,9,55,male,8,medium,YES,46-55,16
6,200,6,56,male,3,high,NO,,41
4,225,9,20,female,6,medium,NO,18-25,27
9,175,4,48,male,5,low,NO,46-55,42
10,,2,23,male,6,medium,YES,18-25,75
1,100,3,41,male,4,high,NO,36-45,61
7,250,4,,female,1,medium,YES,46-55,47
10,75,1,54,female,0,low,NO,46-55,81
9,50,10,52,female,2,low,YES,46-55,65
10,75,9,54,male,1,low,NO,46-55,71
7,250,4,40,male,9,,YES,36-45,12
3,225,9,30,female,8,high,YES,26-35,12
9,100,,29,female,4,medium,YES,26-35,62
5,225,3,48,male,2,medium,YES,46-55,41
1,250,9,47,male,,high,NO,46-55,41
4,150,1,34,female,6,low,NO,26-35,47
4,50,2,34,male,8,medium,NO,26-35,59
10,25,1,41,female,6,high,NO,36-45,68
3,225,2,64,male,5,high,YES,,26
9,25,,58,female,7,high,NO,56-65,62
6,125,1,49,male,8,low,NO,46-55,43
7,25,3,61,female,8,low,NO,56-65,56
10,150,8,,male,2,high,YES,18-25,58
10,175,3,,female,7,low,YES,36-45,39
7,75,1,57,male,,high,NO,56-65,81
1,250,5,58,male,5,low,YES,56-65,22
1,150,5,52,male,10,high,NO,46-55,24
8,,2,48,female,5,low,NO,46-55,76
7,225,7,43,male,6,medium,YES,36-45,23
4,125,1,29,female,4,low,NO,,60
1,75,5,51,male,6,high,NO,46-55,55
7,,6,46,male,5,low,NO,46-55,75
9,25,10,46,male,6,high,YES,46-55,58
,25,2,46,female,7,high,NO,46-55,64
9,225,3,34,female,10,medium,YES,,11
3,250,4,44,male,10,medium,YES,36-45,6
1,175,10,64,male,2,high,YES,56-65,40
8,250,2,66,,6,low,NO,66-70,22
1,200,8,38,female,1,high,YES,36-45,44
7,,9,29,female,,low,NO,26-35,92
3,225,4,32,female,8,high,YES,26-35,17
4,200,9,21,male,10,medium,YES,18-25,15
7,225,7,55,,7,high,NO,46-55,19
5,200,8,50,male,,medium,NO,46-55,52
7,200,7,,male,6,low,NO,56-65,40
1,,7,31,male,1,high,YES,26-35,86
2,200,1,62,female,8,,NO,56-65,26
5,100,3,64,male,6,high,NO,56-65,49
6,250,,59,female,2,medium,NO,56-65,40
2,175,10,66,male,,low,YES,66-70,49
3,150,8,36,female,1,high,YES,36-45,53
6,250,6,28,male,7,medium,NO,,23
6,100,10,,female,1,,YES,,70
5,200,9,44,male,8,high,YES,36-45,16
2,225,1,46,female,5,low,YES,46-55,31
10,250,10,41,,2,high,NO,36-45,34
7,25,3,51,female,6,low,NO,46-55,66
10,75,7,34,,9,high,NO,,44
10,150,7,22,male,8,low,NO,18-25,37
,125,8,59,male,8,medium,YES,56-65,31
6,225,10,22,male,,medium,YES,,48
7,225,5,63,male,8,medium,NO,56-65,18
5,,1,64,male,7,low,NO,56-65,69
4,125,10,55,female,8,high,NO,46-55,30
10,75,,52,male,10,high,NO,46-55,45
7,25,7,19,male,,high,NO,18-25,90
10,,3,51,female,,medium,NO,46-55,93
3,250,8,,female,10,high,NO,56-65,11
7,125,9,47,male,9,,NO,46-55,32
4,125,9,66,male,9,low,NO,66-70,30
7,250,1,,female,4,medium,YES,56-65,39
3,50,3,23,male,7,medium,YES,18-25,62
8,250,3,22,female,3,medium,YES,18-25,36
5,175,2,58,male,1,low,YES,56-65,54
10,25,6,55,male,1,medium,YES,46-55,80
10,25,2,25,male,3,high,NO,18-25,83
4,175,7,45,female,,medium,NO,,59
3,225,,24,male,0,high,YES,18-25,55
5,25,2,20,male,5,,NO,,79
8,,10,26,male,2,medium,YES,26-35,82
5,150,8,26,male,6,,NO,26-35,44
3,175,,61,male,0,low,YES,56-65,59
3,250,10,23,female,0,low,YES,,41
3,,,60,female,2,high,NO,,85
1,150,8,61,,3,high,YES,56-65,43
6,125,1,67,female,6,low,YES,66-70,41
4,250,10,49,female,5,high,YES,46-55,15
10,,4,31,male,3,low,YES,26-35,84
7,150,5,38,female,3,medium,YES,36-45,51
8,250,10,57,male,1,medium,YES,,31
3,100,1,,male,6,high,YES,18-25,58
5,100,3,44,female,4,,NO,36-45,62
1,125,4,67,male,8,medium,NO,66-70,37
3,250,7,28,male,10,low,NO,26-35,10
,150,9,,male,6,low,NO,,49
1,,,33,female,,low,YES,26-35,98
1,150,,55,female,2,medium,YES,46-55,57
10,25,7,37,female,8,medium,YES,36-45,53
9,125,5,54,female,1,low,NO,46-55,63
5,250,5,52,female,2,medium,NO,46-55,36
8,150,5,18,male,10,high,NO,,31
7,50,6,51,,4,low,YES,46-55,65
1,225,,51,male,7,high,YES,46-55,23
7,150,1,,male,1,,YES,26-35,71
6,50,3,18,,9,high,NO,,56
5,50,6,53,female,6,high,YES,46-55,52
3,150,5,62,female,0,high,YES,56-65,56
4,250,1,60,male,10,low,YES,56-65,6
4,125,,68,male,10,,YES,66-70,28
5,250,2,54,male,10,high,YES,46-55,4
4,100,10,22,female,8,high,YES,18-25,37
1,50,3,37,female,9,high,YES,36-45,46
6,,,60,female,2,medium,NO,56-65,87
10,25,8,29,male,1,high,NO,26-35,85
6,25,9,46,female,3,,NO,46-55,73
2,100,7,52,female,3,,YES,46-55,56
10,200,8,47,female,1,medium,NO,46-55,47
3,150,1,,female,10,medium,YES,,34
4,75,5,63,male,,high,YES,56-65,72
1,225,9,50,male,,medium,NO,46-55,47
1,125,,38,male,4,low,YES,36-45,58
3,150,9,41,male,6,,YES,36-45,36
,100,,,female,2,medium,YES,18-25,76
5,225,9,60,male,0,medium,NO,56-65,45
8,50,,27,male,1,low,NO,26-35,89
8,100,1,28,female,8,high,YES,26-35,44
6,250,2,,,9,high,YES,36-45,20
7,250,5,52,male,4,medium,YES,46-55,27
10,25,6,19,female,7,medium,NO,18-25,66
2,25,9,42,male,0,low,NO,36-45,87
9,150,3,22,female,7,high,NO,18-25,42
,150,5,61,male,5,low,YES,56-65,39
8,75,3,35,male,1,high,NO,26-35,79
1,25,,,,10,low,YES,,61
,50,4,44,,4,low,NO,36-45,71
3,175,5,24,female,2,high,NO,18-25,54
1,100,4,,male,0,low,YES,26-35,81
4,,4,46,female,3,low,NO,46-55,83
10,50,10,,female,0,medium,YES,18-25,83
2,200,2,67,male,7,low,YES,66-70,24
2,50,7,35,female,10,high,NO,26-35,43
,150,10,64,male,5,low,NO,56-65,39
8,250,1,,female,4,,YES,,39
8,125,,64,female,7,high,YES,56-65,37
4,225,1,32,female,2,,YES,26-35,44
10,250,7,69,male,2,high,YES,66-70,27
3,100,7,28,female,9,low,YES,26-35,36
9,250,1,30,,6,high,NO,26-35,28
8,250,2,23,male,9,medium,NO,18-25,19
9,50,3,43,male,6,low,NO,36-45,64
,175,1,49,female,9,medium,YES,46-55,24
4,150,1,,female,5,,NO,66-70,59
,50,,52,female,0,low,YES,46-55,83
9,200,4,42,male,,low,NO,36-45,58
3,175,7,21,female,,low,NO,18-25,62
10,100,4,19,male,1,medium,YES,18-25,74
5,75,8,31,,10,medium,YES,26-35,38
5,200,3,59,male,7,high,NO,56-65,27
7,100,6,27,female,5,low,YES,,53
9,150,4,,female,1,,NO,26-35,69
1,25,3,49,male,3,low,YES,46-55,76
9,,6,30,male,8,,NO,26-35,66
5,175,4,60,female,6,low,NO,56-65,35
9,200,7,26,female,6,high,NO,26-35,31
10,175,3,28,male,7,,YES,26-35,36
5,25,10,24,female,4,low,NO,18-25,72
1,200,8,18,male,7,low,NO,,32
9,25,6,22,female,10,low,NO,18-25,53
1,225,4,,female,9,medium,YES,56-65,21
8,125,,34,female,4,low,YES,26-35,57
1,150,7,58,male,10,low,NO,56-65,23
3,200,5,,male,0,medium,YES,36-45,61
8,200,9,24,female,5,high,NO,,34
10,200,6,51,male,1,low,YES,,47
10,75,1,25,male,2,medium,NO,18-25,82
1,225,4,65,male,1,low,NO,56-65,45
5,,3,18,female,0,,NO,,100
5,,2,60,female,5,high,NO,56-65,72
,175,5,20,female,,,NO,18-25,64
1,250,8,19,male,7,low,YES,18-25,19
1,,5,44,female,4,high,YES,36-45,72
9,75,9,35,male,8,medium,YES,26-35,45
6,,6,35,female,9,medium,YES,26-35,56
6,,5,51,male,2,medium,YES,,82
6,225,1,23,male,5,low,NO,18-25,40
7,25,9,35,female,8,high,NO,26-35,55
,,2,48,male,5,low,YES,46-55,74
9,225,7,65,,6,high,NO,56-65,21
,50,6,66,male,6,,NO,,58
3,175,8,19,male,10,medium,NO,18-25,26
10,50,2,59,male,6,,NO,56-65,61
1,175,4,24,female,8,low,NO,18-25,34
,75,5,18,female,9,low,YES,,45
5,225,1,45,female,5,medium,NO,36-45,34
6,175,9,23,female,5,low,NO,18-25,40
6,175,3,28,male,5,high,YES,26-35,42
8,225,7,35,female,0,medium,,26-35,50
5,25,10,68,male,0,low,,66-70,80
5,200,7,66,male,2,high,YES,66-70,37
7,200,4,34,male,9,medium,YES,26-35,21
8,175,9,50,female,10,high,YES,,10
10,125,4,57,male,5,low,NO,56-65,52
1,100,8,23,male,,medium,NO,18-25,77
2,175,2,22,,9,high,NO,18-25,32
4,200,10,50,female,10,,NO,46-55,10
1,200,,42,female,9,low,YES,36-45,22
1,150,3,44,,5,medium,NO,36-45,49
,225,5,,female,0,low,NO,26-35,59
10,250,9,25,male,,,NO,18-25,48
2,,8,56,,0,,YES,56-65,87
7,75,,37,female,1,low,NO,36-45,81
6,125,4,39,,3,high,YES,,55
2,75,9,36,female,5,medium,YES,36-45,53
8,250,10,31,female,4,low,YES,26-35,24
6,125,7,24,female,2,medium,NO,18-25,63
5,250,10,50,,6,medium,NO,46-55,18
2,175,7,61,female,4,high,YES,56-65,33
10,200,,46,female,7,,NO,46-55,32
8,100,5,36,male,10,medium,NO,36-45,39
10,50,5,47,female,3,,YES,46-55,68
3,50,,43,male,0,high,NO,36-45,90
,200,5,19,,1,low,NO,18-25,58
3,,1,35,female,8,low,YES,26-35,64
,225,8,21,female,7,low,NO,18-25,25
5,200,5,22,male,8,high,NO,18-25,28
,250,,64,male,3,medium,NO,56-65,36
2,75,4,54,female,6,high,YES,46-55,50
6,250,9,60,male,6,low,YES,,14
1,125,2,45,,10,high,YES,36-45,30
4,250,6,49,male,,low,YES,46-55,41
3,100,1,53,,5,,YES,,55
8,75,2,66,male,,,NO,66-70,80
2,250,9,,,3,medium,NO,26-35,40
10,150,9,,male,7,medium,YES,46-55,39
,50,6,48,male,,low,YES,46-55,80
7,100,8,,male,5,medium,YES,,59
7,225,1,50,male,8,high,NO,46-55,22
6,125,4,25,female,7,medium,YES,18-25,43
7,250,6,40,male,6,high,YES,36-45,18
1,150,5,61,female,2,low,NO,56-65,53
3,125,4,42,male,10,high,NO,36-45,32
4,150,1,35,male,7,medium,YES,26-35,41
,50,3,20,,9,high,YES,18-25,52
5,250,6,20,female,7,low,YES,18-25,18
,25,10,45,male,5,medium,NO,36-45,66
3,225,,44,female,10,high,YES,36-45,11
10,,7,18,female,0,low,YES,,92
2,100,4,39,female,0,high,YES,36-45,70
3,100,1,,male,0,medium,YES,56-65,85
2,,3,38,female,3,medium,NO,36-45,85
9,125,8,18,female,5,low,NO,,52
8,50,8,46,female,,medium,YES,46-55,77
3,125,,18,male,6,low,YES,,54
4,150,8,59,female,5,medium,YES,56-65,35
10,225,4,43,,3,medium,YES,36-45,39
1,175,5,26,female,8,low,NO,,32
9,250,1,55,male,0,medium,YES,46-55,45
8,250,6,,female,7,medium,YES,18-25,22
10,125,6,29,female,8,medium,YES,26-35,36
5,250,8,19,female,6,low,NO,18-25,26
1,175,5,49,,2,high,NO,46-55,51
3,75,6,65,male,7,low,NO,56-65,48
6,225,3,60,female,3,medium,NO,56-65,38
,75,5,37,,6,,NO,36-45,58
6,250,3,62,female,5,high,YES,56-65,19
7,100,5,25,female,2,,YES,18-25,67
10,175,1,42,male,4,low,NO,36-45,50
2,,8,56,female,7,medium,NO,56-65,61
5,250,,62,,10,low,YES,56-65,6
7,250,8,46,male,8,low,NO,46-55,13
8,125,6,,female,8,medium,YES,46-55,42
10,25,7,45,,2,high,NO,36-45,78
1,250,,50,female,10,medium,NO,46-55,12
,75,1,54,,3,low,NO,46-55,71
7,25,7,46,male,4,,NO,46-55,72
1,200,,59,female,6,medium,NO,56-65,34
7,125,6,58,male,5,high,NO,56-65,46
4,125,6,30,male,5,low,NO,26-35,54
,175,3,69,male,1,low,NO,66-70,55
6,150,10,30,,4,low,YES,26-35,45
4,175,,56,,5,high,YES,56-65,39
9,100,3,47,male,2,medium,NO,46-55,68
5,100,9,68,female,6,medium,NO,66-70,42
1,50,10,19,female,5,low,NO,18-25,65
3,250,,57,female,8,low,NO,56-65,16
,125,4,69,male,,high,NO,66-70,65
7,125,9,44,male,9,,NO,36-45,33
1,225,2,20,male,2,medium,NO,18-25,52
10,,,63,female,6,high,NO,56-65,70
10,25,,27,male,4,high,YES,26-35,77
2,75,9,67,male,9,low,YES,66-70,34
